Day,Open_Price,Highest_Price,Lowset_Price,Close_Price,Change_Price,Change_Percent_Price,Volumn
2024-11-04,55900.0,56100.0,55500.0,55500.0,200,0.36,456700.0
2024-11-01,55600.0,56100.0,55300.0,55300.0,100,0.18,436900.0
2024-10-31,55300.0,56200.0,55200.0,55200.0,0,0.0,486300.0
2024-10-30,55500.0,55700.0,55100.0,55200.0,-200,-0.36,357300.0
2024-10-29,55500.0,55700.0,55200.0,55400.0,-100,-0.18,258400.0
2024-10-28,55600.0,55600.0,55300.0,55500.0,0,0.0,238900.0
2024-10-25,55900.0,56000.0,55200.0,55500.0,-400,-0.72,449500.0
2024-10-24,56000.0,56000.0,55700.0,55900.0,-100,-0.18,228400.0
2024-10-23,56000.0,56500.0,55600.0,56000.0,0,0.0,369000.0
2024-10-22,56400.0,56500.0,55900.0,56000.0,-600,-1.06,646300.0
2024-10-21,57400.0,57600.0,56500.0,56600.0,-800,-1.39,645600.0
2024-10-18,57500.0,58100.0,57300.0,57400.0,100,0.17,245300.0
2024-10-17,58000.0,58000.0,56900.0,57300.0,-500,-0.87,294700.0
2024-10-16,57100.0,57800.0,57100.0,57800.0,700,1.23,531800.0
2024-10-15,57200.0,58200.0,57100.0,57100.0,-100,-0.17,642600.0
2024-10-14,57600.0,57700.0,57100.0,57200.0,-300,-0.52,335400.0
2024-10-11,57900.0,58200.0,57400.0,57500.0,-200,-0.35,379300.0
2024-10-10,56600.0,57900.0,56500.0,57700.0,1300,2.3,685400.0
2024-10-09,56400.0,56600.0,55900.0,56400.0,100,0.18,613900.0
2024-10-08,56700.0,56900.0,56100.0,56300.0,-400,-0.71,514800.0
2024-10-07,56600.0,57100.0,56500.0,56700.0,100,0.18,414800.0
2024-10-04,56800.0,57000.0,56600.0,56600.0,-200,-0.35,381200.0
2024-10-03,57200.0,57700.0,56800.0,56800.0,-100,-0.18,606400.0
2024-10-02,57800.0,57800.0,56800.0,56900.0,-900,-1.56,635600.0
2024-10-01,58000.0,58000.0,57600.0,57800.0,0,0.0,559300.0
2024-09-30,58800.0,58800.0,57700.0,57800.0,-700,-1.2,551500.0
2024-09-27,58300.0,58800.0,57900.0,58500.0,400,0.69,794200.0
2024-09-26,57500.0,58500.0,57500.0,58100.0,700,1.22,1091100.0
2024-09-25,57500.0,57700.0,57300.0,57400.0,-100,-0.17,337400.0
2024-09-24,57700.0,57800.0,57200.0,57500.0,100,0.17,598600.0
